
2024/10/20 (11:32:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (11:32:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (11:32:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (11:32:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (11:37:03) | ===> btop++ v.1.4.0
2024/10/20 (11:37:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (11:37:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (11:37:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (11:37:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (11:37:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (11:45:18) | ===> btop++ v.1.4.0
2024/10/20 (11:45:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (11:45:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (11:45:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (11:45:18) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (11:45:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (13:08:17) | ===> btop++ v.1.4.0
2024/10/20 (13:08:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (13:08:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (13:08:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (13:08:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (13:08:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (18:05:10) | ===> btop++ v.1.4.0
2024/10/20 (18:05:10) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (18:05:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (18:05:10) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (18:05:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (18:05:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (18:10:07) | ===> btop++ v.1.4.0
2024/10/20 (18:10:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (18:10:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (18:10:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (18:10:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (18:10:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (19:57:46) | ===> btop++ v.1.4.0
2024/10/20 (19:57:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (19:57:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (19:57:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (19:57:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (19:57:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/20 (19:58:04) | ===> btop++ v.1.4.0
2024/10/20 (19:58:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/20 (19:58:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/20 (19:58:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/20 (19:58:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/20 (19:58:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (14:12:27) | ===> btop++ v.1.4.0
2024/10/21 (14:12:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (14:12:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (14:12:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (14:12:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (14:12:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (14:13:12) | ===> btop++ v.1.4.0
2024/10/21 (14:13:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (14:13:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (14:13:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (14:13:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (14:13:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (18:40:22) | ===> btop++ v.1.4.0
2024/10/21 (18:40:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (18:40:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (18:40:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (18:40:22) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (18:40:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:52:53) | ===> btop++ v.1.4.0
2024/10/21 (21:52:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/21 (21:52:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:52:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (21:52:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (21:52:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/21 (21:58:25) | ===> btop++ v.1.4.0
2024/10/21 (21:58:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
